securityId,securityName,symbol,indexId,openPrice,highPrice,lowPrice,totalTradeQuantity,totalTradeValue,lastTradedPrice,percentageChange,lastUpdatedDateTime,lastTradedVolume,previousClose,averageTradedPrice
706,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,SWMF,58,770.0,770.0,770.0,129,99330.0,770.0,-0.9,2024-09-25 11:09:00.340562,100,777.0,770.0
9170,Dolti Power Company Limited,DOLTI,58,489.6,489.6,475.0,660,316846.0,475.0,-1.04,2024-09-25 11:08:59.634139,10,480.0,480.07
153,Butwal Power Company Limited,BPCL,58,398.3,399.9,392.1,200,78638.0,392.1,0.41,2024-09-25 11:08:58.204375,70,390.5,393.19
131,Nabil Bank Limited,NABIL,58,550.0,560.0,550.0,1471,817427.5,555.0,0.27,2024-09-25 11:08:55.381099,28,553.5,555.7
9212,Mandu Hydropower Limited,MANDU,58,905.0,905.0,895.0,615,551475.0,896.0,-0.99,2024-09-25 11:08:54.359572,40,905.0,896.71
545,Swarojgar Laghubitta Bittiya Sanstha Ltd.,SLBBL,58,1029.0,1029.0,980.0,960,950430.0,980.0,-6.67,2024-09-25 11:08:52.420466,50,1050.0,990.03
428,Karnali Development Bank Limited,KRBL,58,545.0,545.0,545.0,600,327000.0,545.0,0.37,2024-09-25 11:08:51.757625,300,543.0,545.0
8132,Shrijanshil Laghubitta Bittiya Sanstha Limited,SHLB,58,1822.0,1822.0,1822.0,10,18220.0,1822.0,-1.99,2024-09-25 11:08:49.752841,10,1859.0,1822.0
417,Garima Bikas Bank Limited,GBBL,58,420.0,420.0,417.0,700,293705.0,417.0,-0.48,2024-09-25 11:08:48.829689,50,419.0,419.58
8100,Swet-Ganga Hydropower & Construction Limited ,SGHC,58,367.5,367.5,360.2,20,7277.0,360.2,-0.03,2024-09-25 11:08:47.562376,10,360.3,363.85
559,NLG Insurance Company Ltd.,NLG,58,1281.1,1300.0,1281.1,1025,1332163.6,1299.8,-0.09,2024-09-25 11:08:38.597997,15,1301.0,1299.67
180,United Ajod Insurance Limited,UAIL,58,610.0,610.0,600.8,2685,1616105.8,600.8,-1.99,2024-09-25 11:08:37.739199,116,613.0,601.9
179,Himalayan Everest Insurance Limited,HEI,58,635.0,635.0,635.0,200,127000.0,635.0,-0.02,2024-09-25 11:08:36.458957,145,635.1,635.0
8104,Upper Solu Hydro Electric Company Limited,USHEC,58,455.0,456.1,455.0,145,66123.5,456.1,0.91,2024-09-25 11:08:35.422574,10,452.0,456.02
2903,Liberty Energy Company Limited,LEC,58,250.0,256.0,250.0,339,86441.0,250.0,-1.19,2024-09-25 11:08:35.136724,10,253.0,254.99
186,IGI Prudential insurance Limited,IGI,58,575.0,575.0,571.1,1120,643922.0,575.0,0.51,2024-09-25 11:08:33.699506,1000,572.1,574.93
9173,City Hotel Limited,CITY,58,748.0,760.0,748.0,110,83180.0,750.0,0.54,2024-09-25 11:08:31.064765,10,746.0,756.18
2759,Synergy Power Development Ltd.,SPDL,58,267.3,267.3,262.3,120,31526.0,262.3,0.08,2024-09-25 11:08:30.055302,10,262.1,262.72
194,Nepal Finance Ltd.,NFS,58,1270.0,1270.0,1222.0,1510,1885700.0,1245.2,-3.91,2024-09-25 11:08:29.334512,30,1295.9,1248.81
694,Matribhumi Lagubitta Bittiya Sanstha Limited,MATRI,58,1428.9,1514.0,1400.4,280,401898.0,1415.0,-2.95,2024-09-25 11:08:24.97287,10,1458.0,1435.35
9140,Unique Nepal Laghubitta Bittiya Sanstha Limited,UNLB,58,2474.0,2624.0,2403.0,232,578455.5,2466.0,1.65,2024-09-25 11:08:24.182534,10,2426.0,2493.34
8055,Balephi Hydropower Limited,BHL,58,431.0,473.0,431.0,210,94330.0,441.0,0.46,2024-09-25 11:08:23.793272,100,439.0,449.19
8018,Manushi Laghubitta Bittiya Sanstha Limited,MLBS,58,1567.0,1600.0,1567.0,42,66186.0,1600.0,3.96,2024-09-25 11:08:21.374897,10,1539.0,1575.86
2914,United IDI Mardi RB Hydropower Limited.,UMRH,58,417.0,417.0,417.0,20,8340.0,417.0,-1.63,2024-09-25 11:08:18.052886,10,423.9,417.0
8020,Jyoti Bikash Bank Bond 2087,JBBD87,58,1028.1,1028.1,1028.1,1,1072.0,1028.1,0.0,2024-09-25 11:08:08.878992,1,1028.1,1072.0
8106,Global IME Balanced Fund-1,GIBF1,58,10.37,10.37,10.37,100,1037.0,10.37,1.87,2024-09-25 11:08:04.273606,100,10.18,10.37
9181,Rawa Energy Development Limited,RAWA,58,774.0,774.0,730.1,2300,1771071.0,740.0,-2.5,2024-09-25 11:07:59.498196,50,759.0,770.03
2806,Ghalemdi Hydro Limited,GHL,58,201.0,203.0,201.0,1160,234880.0,203.0,1.96,2024-09-25 11:07:54.19607,100,199.1,202.48
